Mint                                         Time to Peak
------------------------------------------------------------
EPB1L9RZKBRXuxMEHpPUnDEWaBpjZLuwTvEemz5BjCqH  0.0
5AsWevSNkg24jTqazqzNEuoJQV6VTJCdKYNbWycYpump  0.0
3NNN1Mj9Lu77jkJp1mtuvYm2dnH8xshL79pp4JJXLSB6  0.0
64tF5ZiSe3UgtCTeJdj2aQhBZuKT4gjewfAr5BRUpump  0.0
2aaKym8zjLYw8cUTUXxeLaFnkKwxi4uHFwCoBWeipump  0.0
AvaoKR1P5j8gReWnR6E9zbVPfreybRVzL1DeXWt2pump  0.0
8S2qVcdS5kD24UYc7E7UoW1PL9yXMcWEQzCVLJctpump  0.0
DK1vfT9sfwbP1eyNG5c4LSmFrCbQxrXqFbxNGJFywUP7  0.0
ESZK5d9LmARZii1acj98b4eLweGhEGPMHb1CrD1Ppump  0.0
7UYBDiLj3bPtpYKSjHac6jkCERVJiz3tGkpDPZftpump  0.0
BiYPGGDgefRUNcKa9YSNZ5q7AC7FMEyr54GGzuzcpump  0.0
2wKwUhiTqNQHdJZzm3rFzYESLQvgmNeFwfoDmubppump  0.0
3N9SpgXP73DVSNwCwifM1YQm7HccxWuae3T6zbTepump  0.0
C3CYfqgK2Qpou7MHQNXaZf7za99gqhUcXG6Bc486pump  0.0
52egp6MhEiFoP5NX1C9VCMkSfNbUK9bLdkAWPj21pump  0.0
9eghfNSJdMvJgd8tvP7ZQQ2hQVMfsPt35y63QNVxpump  0.0
926bzVAAbc38NpimzJK1PENaVbd8bsysnjUD9cbcpump  0.0
CiRqREbVW7kuV3iWrhn7BcFWYiHdKgp63swJb25Vpump  0.0
2ARxh5NPVZM3TZdPQ5Af3iaBASCfpg1GkZSsJFPPpump  0.0
dvyjQU4SG2U4BzkriCREjKfhaV1jND18cCeDWxLpump   0.0
AZL7nCuD2beY22iqMV3ZDcM1EgHYxBr5dMioCpVRpump  0.0
8vd8mGcj5NecCSt6CdSJVWxdBebaFHMee6THsNpqpump  0.0
ERDnYCzbFns1yqCMKwSvWizUKR7QxQKN63jPDz1epump  0.0
E66VHbdpmkm1aCAE8jtFBpf2c4VUNymDrP2GBHyJygEf  0.0
9Y5BfzN2A5LJs3YAyhFnJseBcSGbJm4Y65gXuhXZ4WQ4  0.0
3vAVTW7WxeTP3JjrL8wWyp3Mwggub5Fa1semFiHVpump  0.0
HwohRtf1W4SEwadCjgkAGcr5DUbuadknVcKhzBPKnWsh  0.0
EZtadLBBT7mNXtPdMrtBtAjEqrLuSYWDdagYciKHpump  0.0
EUfkdjCffrwsTn5VdW4Cu7hrW4URyZi7hF9Mdoqepump  0.0
CoA1zKZJ3awSWdCpkAoie2MQpfgPyGaeehcHW39hpump  0.0
CgNZtX8C8Yt83CR5arTChFBSXBCE6LEB6fC5j8ACwymP  0.0
ERM8bHwtyWcGBEfEMG6GAZRP6rUvGay6pwBwjGJZpump  0.0
HP1Exk92aCqmb4rC5e5qGXkcH6tP4EB5dABo7v5Vpump  0.0
ChyZUTuQ2M7CubEj1hwZtMqXH6uQYkBNGZcu8kNVpump  0.0
EKLwyB7WC6xQN6hDsp71zd58ZJNSYS1XNgd9Jikopump  0.0
Bcm5BKWEj6fK6abqrFRfJETAZKJ6DhS2XxPg2byxpump  0.0
AdUGKyCjk7Um3x93S1y2xPTdKS199M27v8NnDD7Reaf1  0.0
7SN5jHW7g55SHF2HvYwe5gA6K5v9vPVuXohgT15Gpump  0.0
DeNjy3FVgyvfq4LDd7s8z2Dngu43aQk86k8ZpZavE8Hu  0.0
H1Y4RmAVjXRy6JYnbAMdC7cXF76ALZzJojnqkeyrpump  0.0
EQw4nBH2MSLqHvaZjY3ApaYAK9R229c1NmqoNa6hpump  0.0
Ch3cdQ4BBG81RKpaWizSoSxZmVhS5KFgRS2RsYPmpump  0.0
52jKLzZAqDcEEYPp1DLMk13FmVb4CTjCsSWjDo9bpump  0.0
6nQxFYFBpzbNsF5thVnBJwVvGxnytaiNKEnyN9Sqpump  0.0
CNTNiB4m6PWRkV8Kog47Ajtpsr1xFaw4Hti6nFVC9MBd  0.0
BRjxYqrbRFouo7cPfmkeDFEHKJdPDVtYz8HnqmPvpump  0.0
A6HN3673CbaNuPM7m4PCTAXLkRqtURRR6XTfRBBYpump  0.0
7H36VKfBUcfCJjns3f8exruNM1qhbLwFxZsVXAZ3pump  0.0
3fQ4c6qWfXiBcimaVV1Dr7v8bdBsMiMRCLniN8mspump  0.0
E8iMtPa2fvU6ZPwayfYZsrzwJH6hbJgWEZvQVnfPpump  0.0
5YHiAA2uJACHrcsSPjvED53GhBDDHYSGqczShKnvpump  0.0
EVGf5gv4wGCA1kz5ycGrFKYB6HNMyzwQ7NHKWBC9pump  0.0
763FyL5RVsRFix9CfopdiwUagkWT8fXK5tgoMHUepump  0.0
448kNWMX6UMC5ZknTJWDQHojs3ioP11omS9vqz4ejUFM  0.0
HAcnkJRyFDmhoxTg7DM3kaygfEjMEUnLkFSwdpV6pump  0.0
HjZbXM3AVrZTP7CmY9Y6TXs4YHpiS1N1LgjsHcwRpump  0.0
FQFhRAwYUh7UtSghyuYY5rzFT8vPuEeM5hB6KFgmpump  0.0
7ZenuZ9YeSJU9RCnf1VpKbVickzLqMmFojntgKDRpump  0.0
CLcxesozDBkxsZeL3jW23SktPPWnMcKHANpTzoxopump  0.0
EYGUiHW9DkBqA4HK1diAq8DrXELaUvj24ihHq6jdpump  0.0
vZHWMqZ4RvM9a4GCRuFrv4jUC27rcDz5QtHvDi5pump   0.0
AUir6hvJ5aGtJLugtN1qUSiSpodyydLNYmkcBEwApump  0.0
AujzktHsyz34PgGL9vYS4cEerxqkTzDyRBYeqUwMpump  0.0
9EfpgfzrX6ob5i4gnBvbf1LDo6nqk2Lxwz2hnXTgpump  0.0
4XxBpqPZo2ngAVtAFTkyYnjuLSYaFt3pDFQSXYD5pump  0.0
8cRuGU5g4J6Amdmf7FGPjWRzBJoA1cVbJUPLvYjhpump  0.0
NwpSPWRGvyY4zCoUHaqCZskSNMfjhhqzZHDH7ySpump   0.0
FSQ6dzm5rNfCg6NwT6hz73zbxBvdyh2xARgCF5pLpump  0.0
9eXBLnskQvStwu5xfE9RvPxppu6QtKjv8NvsS6gRpump  0.0
Fjx6uoGaVmbgZnTFYivwY19DFT4XYC5mMZW3q8oYGHrD  0.0
J5XL4CiqQsHF3bQ75hJAcmHDDssKp2YhtPzY9zhpump   0.0
5XQw1J7tsZui6KmuJZ4ph8eCTXa1a9fNrMVw2iDMpump  0.0
DccjyXthacp5ay5y9nrzUdsPiYZKwZrBEutJNxKopump  0.0
Atxg4uKkkXUNXUHZ9vM73Z6LVGxzdn5W2vvjMWWrpump  0.0
HbYZpxVKXiuNiPfiVGH9JBZFCaHcV4kGXHegpXLjK57E  0.0
4j5bcsD7tAvstWdev8iL32KyVPB7NN75kbPckFeopump  0.0
6YjiG85Ppg3kXTT7xLFE7aftfwZHN7WLCaeA98opump   0.0
GEW6FDEUsP5axEcSepHZRaZU8YDjHVvqtKAB67m6pump  0.0
FJf8sSmqdUhvL384gfRiWZcC7sjRsfWMFFqEqsyLXJ7w  0.0
CnKGxGnVnSNetCX3poM9S2PYVbM4qCt7j7u5YubYpump  0.0
ArfBBLZ2HwQavAXhVXPhE33xt5mnuofHwqdopVaWpump  0.0
2Z14g53iuQRqcSePkm8N6vWw4ZPrmtwHoZBU5WYCtqdY  0.0
sQF3AHMruCq6FiQPXanRSuTn1osLFQ5ZbWQSru3pump   0.0
BfL3pKbJh7CQt39VNbTyGLqTc31VnJMgJnKBJheEpump  0.0
5i8kgeDAgg8iqP3w7ACA3wMA68rJwA9srw9qZBLMpump  0.0
Gfmnzi9pAzkRewTzU7A3rR2tXSMsPTTTCd3krD7Gpump  0.0
5DNy6q69KG2aubkAEcvF96LpUW5QMzRk6SFEbVxRpump  0.0
HAvYANpNF8v6PRnBxQ9WYGSdzyFWfveWf3GGQ2mapump  0.0
GTHaL8RdhVZjUfmH3jxhYv3zg9k6ZQtc9xSXqb3Rpump  0.0
H2fjvrZpEYAUGLHkL8T952bGbRs8dMBpmvQUUnN3pump  0.0
E5rKU8LhfjbpvPT5JtnRWYeQ8re6J8MBz1YVtgr6pump  0.0
RYPTL9p1kKsG8YJ3m8EbxicKWUgnZ7aRE6vu9bspump   0.0
4c2VuSf94wprwvQhbUQdu5uCN6FBPFHsFUqEc8Qepump  0.0
HyAYzRbh1zZH7P5xjCCa5sCAy3LDQDqFcJXQZPscpump  0.0
4Jxp2rExEWtWZDnuR8nPnT9nyjMVW9CrGjjR8h6JswqU  0.0
2G37rpZKDMfRbHzTXdfdGmvz4Gq9ztF8yfg7AkK5qgC5  0.0
DPRreD1mHM1HDQQjqLByn44Vk3N2hC4q29ENscERxGtc  0.0
9uJn2mxDL8zUztFADekYyaXfHk3h4dAhuqxGoKfzpump  0.0
EFQctLEdRDqavbuR69SUQRzu3pfCfchBBTe8KhLrpump  0.0
7J7BtyKZJA194f2gt4bkL4Q4TvAvaUQSpyjcjNLypump  0.0
HvHpUYKw5TjPGbm99fkb8TsQ221ntB9jzUnhAst1cc8G  0.0
2UQk5noJSqr9dB1BcgzoDz3EmphitCCCSik1ppyvpump  0.0
y2K2WGSpm9StNKxS6Eq185TTvBKi8wuZVQAyAoEpump   0.0
4hTQ8kxjpnaAjvsbzVQ5aP83DUAzDaQHvvMVw3TZpump  0.0
AQCKq3z5hPDKicKV3HETFZLcvAaE1AwhikfoYi2jpump  0.0
5xEx9EqhGNJtLps5fjBvNj7x2QVZqL3LUVttbgK9WaeJ  0.0
96E36oTThduBqD8CTjiUbEYKvMxVHyMQeJHgQifApump  0.0
BRaXbkgpeB2ya9TBMZK1Z5deHG6yEpxz7hHbQ4LSpump  0.0
FyDvpbvJiUxyPanzdNYVZPFgPxzuP2wwDNzCMcgApump  0.0
GbjVZayJv7ZQxTpjBLviPHWWyAaEX9WJmwCTUKDRpump  0.0
GBV5TupESxGjQvNZ2GeLZvsBSLjHmER2pFY1KHYTpump  0.0
GTZDwvERLEtRjBM4EbGouzRb25JjAeVNkUnGvU4mpump  0.0
DBTohr8GhHhLGgnevJMZYgoSoE179SBeUREES5dbkAJm  0.0
CLpoVmqAn9UNMDsdkTS6WSmBJNYzZsNRXhog5Wxepump  0.0
62tymmoo32AzrgsjuR2Xq2YjLwQ2xZbjqGwz8UEzQvMp  0.0
2MFKMt3FfLwXS8aE3N4qspjoG3aaSYtXyWDFfJFepump  0.0
2NqjXwppsBvgNgRMUfrTi7hAB3h7ZE9d6UNrsqiQpump  0.0
GKVAp3a6qQyDuBBT2vVwTiBvjujgpz9bLyRRwS3hpump  0.0
GcJ6pUGGn2Z9SsJpRe2WtX9UPAHuhgFWadZHmKAkpump  0.0
2L9DTmD6oHbQ3Z9Zun1vAduGEA7RURna1BAqta8xpump  0.0
48cfJF4TKWyd2N43FGkQnT3P6grs3LsEHTGXQx4GYFEY  0.0
CjQvRMxVmzTazZjSoe3i8JvschXZgnUG6EVRUzrsj115  0.0
4Fg2iPDh7rEevQAxFiP2ADSntuqFHnMHTVS1dBY3pump  0.0
zbBKKicxDiC8A64mtZZYLrSq6STEqSmzxJs4jX1pump   0.0
DrAokNVoPHrQPsQTSuoab7BL5pQQStGjw4kac9Ygpump  0.0
D3WxzSTy2AKXi5iLJbdwTSLfv6eVgx1jftdmA7TUpump  0.0
2M8P7XmZv5kypv2UywTuzhNRSPsJ4F4PwbanWQ2dpump  0.0
AmhYEnzyA6UA78ZEbp1ttGtf2Mvn2zTVozmeHAP5pump  0.0
Ce4k2FYgEpi5ixpM4Bjzs1a7wc6mrapLR1tUJVqdpump  0.0
66ah4FYhouCZ6vnafxYKydjS3Ja2VXke4jSDA4fLpump  0.0
6wGss68gpEHKQMae3VzJnMxqnxGTStnH9J39k5Lkpump  0.0
4w4NoA4nWKri7vfYqfGmukLngGFMqFgqwsWQc6jepump  0.0
4mcbo77uLnMPtDP3VgRJTNJaFAM7iv1Qs8678NZRpump  0.0
6gWtbkjX1AZ4WDTfKbh2o8SWLkb1mr4gybUd2jESpump  0.0
D67PT2evqHS2Wn17esu4CEfScYUJCy6VNowspxvWpump  0.0
8vxWDnbkuCKrMkJQovRZQNHt44hKpWrU5ws7kqfzpump  0.0
Bbdkd2oybqcsKYgZnqsrneQBCE9TGkdNYEU5dydNpump  0.0
5P932DsrEKdNttnW8SQkArMYNizopCRguL2dGefBpump  0.0
4sCxRGY6SmDM2v4vRnBNiqrM4y5ECMEQzYLZdiyfpump  0.0
DZAVfMenPiKm2HUEPV5LPJ2nqTjhekQkkcaMKMMP6E4g  0.0
7kHDaHmJ6sMhQk2sBTQfX5AgpAtKBXtfnCxveBmCpump  0.0
8MNqkTM5whVRW8wEtP2P3yHsCXCNjLXxWFT58HWtuEt7  0.0
4UE9icwm3Bh7AdUWCifz8yYzmJzstcwLSWEeKd9PQFc1  0.0
CLFjsH627pruCwtJ7i7Dx6QxD9HT3LHPiifoj1Wmpump  0.0
9Nqq62Lvsh1EZGkv7Ym5tZpDQNi5UryXgrDqJb1ipump  0.0
A8jh2T86Dem5o61czjKsS9NqCgApxi3t86grZDqVpump  0.0
2nadhn5FNB4HvwJSQc7xt33LGPQFgtBSZzY77Qz2pump  0.0
4fDtZdHodPm4uGQgexyQheJMN461VuJrgyKDhaM7pump  0.0
5U1qwv7EawVJY9CrNpZsmgMgngkzTxYyfuvzhNnGpump  0.0
8cERCpH6ax21vHdr8ev2GR5QiCHVrnAE8VnFbNEYpump  0.0
BEPwPYNh3ksEKTg6oPR2AjAibHsxGVgmVibPsMhDFWdt  0.0
AgKH7izBejuYKu33BzMK3mFRADdJRAARz3kBqZHfpump  0.0
J8foF8tU72mnH4yrEpW2Trzvmo1rBpQbywgX6XrHpump  0.0
B1hwpEFHsk3J7tkpPjmLMdjFhYawU7v8PVs8J948pump  0.0
GdYEq8H7Ga24szPHWTficsdJc7Pouuh4ashZZNwspump  0.0
J5Bz63pUZBJ25BMNXTeqgNNh8KmWm5bpijeQDoYnpump  0.0
6fkT9B7PaQZhrL8sAfLJ5gUhSFzV7JjWFDmRHxaBMX22  0.0
4HxZhoPSsyedeg89JQUQXp8xqkhUwXiGfRW5nbP1pump  0.0
5DbUcqo1fsxCR2vHZhS8KpANeiVvdsU7sBQGbAMJpump  0.0
HPsX33k5B4aiyHhDkfjYnoTLiGsvbedsd8jK4tQypump  0.0
FdSgXwwSU2GyhH3fKaHMk7jBoME3fiz8dFZkJocNpump  0.0
D8JXxTvwJuuViQJxRAHzm94oyRpKJ8h1LniHL97Epump  0.0
FsQyH9KsJSVJ2jxD7DyxdcpuV7GSA6PqDrUng9Dbpump  0.0
Hw6enDBa8o4EyRE8PfmSYf1Q816jKrLMYUpeBtTxVeEk  0.0
DxdYyK7AyVW9xx8g5mCUzPLkFdW5MZBFNFqgrBFMpump  0.0
6VLQU7ZocvQHr7M5fzdhigJqem1m43QxCFYgD4RMUFEG  0.0
HNhyNgZp9dx38pBj4oCdg9tJfm3oP3NGyfrRtQgrpump  0.0
CYfo2KUp67fa14X8RUjEhHLgApNQYcJ8AuxNza9Gpump  0.0
nQFjFCVuaMbZHGyKPp5y7zguLH8NQmE2foSuNrKpump   0.0
46ZSezL3LFLE4mRbGNjKgs4Q1RAdBjURZX9Wa54fpump  0.0
A1M9Zu3LtUwcGr37Y5zymxjzZvJogPCr6ZBXK8WF3a34  0.0
3FVAtsiv2mo44FUdd4krovZkW8yZ5YCyLJh8LYAzpump  0.0
86xkoccB7QExeAMaNTt6gj2fhD8iaoSFxCiA7Xg5pump  0.0
2VyxGHEpPZBsf7Ff4BcPvGN21yaBTk2iavDcby1apump  0.0
5vNFtxSeJFtHJhgcSe7TikzCqafcL2jykZsHZPURpump  0.0
9e7knKkz2urHEaTKLxAgBEjB1sBEWyZixxc6S8BEpump  0.0
GTHBduS1WnzbCerXBe6iiYNw4sQQCEeG3WVgkY7Zpump  0.0
6FCcAEg9gukrpSAg9MWDQvEjURJRfaoSwXXAPWHMpump  0.0
FjfwjPavEjtigc7uMuwmqdAm5ik3pg7Haf16iirvcdNC  0.0
FCRrqnzRkVwbaRpmEm8ttc6RkEiX4BuQiPZggGAWpump  0.0
8KTDArqNQxBpDetPeceyZJAdQ4Jw8qASPhn3W2D8pump  0.0
gzB6VLhGWRbE5z8TvLurYWLB6LABP18fXxo7QYspump   0.0
H81aWJRze1yKvMMhpA5exd1JowNLs27kd2MW8s6Tpump  0.0
9uiCGsyRb1mF5YtPjNRurUjH2J2HEx6pua4cejufpump  0.0
HHAcxd1fGmsnU5ZEm9J9FKQNLTMNmvnfYUyhrtdVpump  0.0
5ScmDkY8oVroEsRhrgD3kkJiHyFWTqZJtWjwDLuSpump  0.0
GrpmKRQb9tW8yiGR1xxVfLkz4eBH3V6NvTEjaWtLpump  0.0
3DvPJT6dtGrxCWat5o8HojGB5MssEhj4pEPmUREF247N  0.0
4YEcSosQtL1Q9ZKYb3VbBBMu1RoEEvQp2hgg57Qjpump  0.0
6MpYB6CRmbEoBEJiTmSn8UiKDdhu2dFFsqHMf1hdpump  0.0
BpRP4n2FdZhUbG9JRfQv1J2cx7hewy8XRErYdA2ZLLnG  0.0
HB9WHmf1fu7qdsAuQBkFRFU1BAN4NNL2FzbQXiNrpump  0.0
638jZT9BQ9vCsoBxJek9BCtZNKCYKawAUArQHRXDpump  0.0
9K8yfKq7FoV98cwshVcjJAXVf7bZ2YaWHemDvJeJpump  0.0
DNVW6ZMcPpSyTXxmnybb7c8DVT71eZZfrDcFJdmzpump  0.0
CRDXNeZLosFktoYXRZrrxcABAvLHgRWy96kC6trppump  0.0
F7yjzwBfA44HxFGd3BZ7t4FLWkb6vQbVoQniFefqpump  0.0
J4d163LAVTPSoLKWSEmYXmc8ezmFtFwinQyTNaFNpump  0.0
3TK4ymXj2utNn9WqRiEn6nzCF2863ahpS7T8RbSTpump  0.0
6sPxk4y7LEF1FEsUpjvtu2Sh3p7dLYbLZzpSSrjpA6cu  0.0
EmtQY47H1cjQx98EQTiqAq6q5bxRpu6jc6pqFnAkpump  0.0
ZpjcXa6SRoukbARjU6K1hWL4h4kwAeew7m4MQTVpump   0.0
ErSQYF6kgcViFQTWK6E8x8LaKUqhC9Anvv9Ja2i4pump  0.0
CJPAXT2LegQ3gyiPZaDYU8GnHf6M9XDDeBKbVECGpump  0.000285
DtW1stcpoDG8jEc7vJaDK2Lbpf9S4VJ5jyH9TnEGpump  0.001333
9HV9sat2Er6c6fQa2rrw6htMTPzALXBPdBMZx6uspump  0.002197
6MHn74gA2biScMURkfcmjxhPCSSQS4BniapR73dmFp4i  0.00593
DSv2j1dgfgTN5w3WPwsUSYJJzdnRo5QpEMNgDQVMpump  0.006378
Cs9hPPbn7TNCcH5pHM6tT7Ncns6p6ZiqAk7MMRgcpump  0.009691
CYsGYug7eAYRZgGycLw4STGL5pj35fjiihVttpSopump  0.012526
68a8ppjjtfwb4T7NEySxh8LVHZsf19i4jHGDaB1pump   0.015658
9DJKiHu1AXQxXQBq1YDiraMKjgFcR34qqSUHQzNCpump  0.015801
