mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,peak_market_cap,time_to_peak
4PfQFRfoeNboKXVTvPpYdyomTRhVf4MxCczhwSMHpump,2025-01-09T22:07:28.546297,4,0.75,1.516707302,50.50326855457124,0.01329279938239716,0.37019661975789936,0.0006207391267093869,0.01970373102990414,0.8,0.0,1,0,0,0,50,0,0,0,0,0,0,0,7,0.8571428571428571,6.607226754,95.84355843342902,0.09930296997578447,0.3151430607915644,0.3169289916551091,0.08848259290201045,1.4,0.0,1,3,0.6666666666666666,2.470461639,61.97667333689866,0.0178186448961469,0.2516118552886831,0.017067256605485494,0.042931485883264876,0.6,0.0,1,1,1.0,0.1,50,0.0,0.0,0,0.0,0.2,0.0,1,1,0.0,4.564826903,50,0.0,0.0,0,0.0,0.2,0.0,1,4,0.75,1.516707302,50.50326855457124,0.01329279938239716,0.37019661975789936,0.0006207391267093869,0.01970373102990414,0.4,0.0,1,10,0.8,9.077688392999999,89.90076146078094,0.11565761999249372,0.30738757782289317,0.41039273898293943,0.07786157188143229,1.0,0.0,1,2,0.5,4.664826903,0.0,0.11700688401479235,0.9571259546905421,-0.20950073932264654,4.983669818438143,0.2,0.0,1,14,0.7857142857142857,10.594395695,87.27513246187192,0.15748515862795107,0.45444817539087135,0.5031193878990493,0.11826739634286088,0.7,0.0,1,16,0.75,15.259222598,59.713642941593776,0.1550059613185455,1.0474930726047607,0.1940092661562122,0.9979922543659449,0.5333333333333333,0.0,1,1.0,34.846592344743264,61.89874029837256,986.778124
4PdGVKyGvsT1qHqYTHNHdZ7BMhFBmTLC6vUjYzctpump,2025-01-09T22:07:34.802945,10,0.6,15.554645264999998,37.55291220059426,0.1244278746990367,0.9757431885635589,-0.15660008327223846,2.303516242158373,2.0,0.0,1,0,0,0,50,0,0,0,0,0,0,0,2,0.0,4.2456658979999995,0.0,0.0017279017137792365,0.9750585621798733,-0.003449842438896036,4.284429886915192,0.4,0.0,1,7,0.8571428571428571,13.983762927999999,87.82675849679146,0.1659000661617633,0.5564312488764678,0.5778653716296088,1.2355918887928663,1.4,0.0,1,7,0.7142857142857143,17.567049408000003,97.92579629736612,0.28008657794548364,1.1561697508152073,1.0108097887414291,8.418694902247811,1.4,0.0,1,17,0.8235294117647058,10.275503677999998,40.18694426388472,0.061389390059613747,1.8119179559725866,-0.06667037764006868,1.1994591257365608,3.4,0.0,1,10,0.6,15.554645264999998,37.55291220059426,0.1244278746990367,0.9757431885635589,-0.15660008327223846,2.303516242158373,1.0,0.0,1,9,0.6666666666666666,18.229428826000003,89.73938457963816,0.25070531184332506,0.6833554259649137,0.8889870849826617,1.915818656069663,0.9,0.0,1,24,0.7916666666666666,27.842553086,75.24462319868053,0.17804577818855521,1.735775453959838,0.8788190368021003,4.054923960379562,2.4,0.0,1,19,0.631578947368421,33.784074090999994,57.51692909217971,0.19337673770607391,0.8294038920040918,0.23299857838446603,2.1749484994152057,0.95,0.0,1,43,0.7209302325581395,61.626627176999996,67.19224207823368,0.39163671974841113,1.271060596063258,1.263676719627596,3.3184279958362706,1.4333333333333333,0.0,1,1.0,44.764262193227765,393.6006914538026,119.679792
4YZbNRwWRWJQRTGiDyBuJr8U2RKSEpaudwXKPjdZpump,2025-01-09T22:09:17.576707,6,0.8333333333333334,3.745387811,33.058189376547986,0.038408959124688946,0.9989281343178121,-0.046310299406527096,0.3888298293948185,1.2,0.0,1,1,0.0,0.188444889,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7,0.7142857142857143,3.9338327,30.534605308965865,0.03741639837412814,1.0625134582729117,-0.05760600166815149,0.35653697184169886,0.7,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7,0.7142857142857143,3.9338327,30.534605308965865,0.03741639837412814,1.0625134582729117,-0.05760600166815149,0.35653697184169886,0.35,0.0,1,7,0.7142857142857143,3.9338327,30.534605308965865,0.03741639837412814,1.0625134582729117,-0.05760600166815149,0.35653697184169886,0.23333333333333334,0.0,1,1.0,32.787244876029106,51.2125604315949,790.115893
9dEunhRSc7NsZ8gHDJxejyZUhgtSssTF9S2RL4xepump,2025-01-09T22:08:20.026055,10,0.8,17.963110573999998,64.4590409402597,0.19490486728040088,0.9827009880677425,0.37055862045153243,3.1160604339771774,2.0,0.0,1,6,0.6666666666666666,6.842407304,37.22680873118742,0.051729063987604865,0.7826715875757784,-0.08549019052638336,0.7966626953257653,1.2,0.0,1,14,0.7142857142857143,20.977213981999995,62.98311219710815,0.07978161309371044,0.6622007922456618,0.27710279912779595,0.9845072922317933,2.8,0.0,1,31,0.7741935483870968,47.93408559499999,20.236299492495732,0.2864548822586434,2.5777024455396433,-0.510322841634498,15.88660412480905,6.2,0.0,1,14,0.6428571428571429,8.759011437,63.238292954312485,0.05335379134061011,1.3210520763750848,0.11150292553352972,0.6831152669460657,2.8,0.0,1,10,0.7,4.0723017729999995,20.128689122827197,0.05578912861785521,2.0429238376892958,-0.09339883351060076,0.6921245573283203,2.0,0.0,1,16,0.75,24.805517877999996,57.926773879171755,0.1593566464594639,0.9881871404565887,0.2826258721472308,2.347118559708588,1.6,0.0,1,45,0.7555555555555555,68.91129957699998,52.06886634923087,0.24329816394850123,2.190359844028068,0.1758509277027511,11.25088772338239,4.5,0.0,1,24,0.6666666666666666,12.831313209999998,52.42600491938013,0.059385755957702804,1.56319133811886,0.03026172410411044,0.698463970890181,2.4,0.0,1,61,0.7540983606557377,93.71681745500001,54.22282685530284,0.24958681458074644,1.943507372851321,0.6731507029204502,8.91554258548923,3.05,0.0,1,85,0.7294117647058823,106.54813066500002,53.87919589155802,0.21294116949660163,2.0801158669386366,0.7000085714334661,6.798746862228011,2.8333333333333335,0.0,1,1.0,32.79704019332434,206.35534717238767,160.218561
9ygNdTYmRADmcRecNooGLZypFwFfWe8EeYHvdHPMpump,2025-01-09T22:09:43.612462,22,0.6363636363636364,49.33569612800001,52.86254164856921,0.3659785698830058,0.8122773389740705,0.2658409801859822,3.318072217177233,4.4,0.0,1,15,0.9333333333333333,1.068708294,86.91845897819171,0.011659931644432811,0.9775223418770436,0.041729132057974364,0.004850530347589244,3.0,0.0,1,3,0.6666666666666666,6.141384115999999,93.53582485495521,0.044540696996204596,0.7696762262803838,0.09355385573087954,2.482596609673235,0.6,0.0,1,3,0.6666666666666666,2.495128085,0.0,0.01149990642574847,1.0225345661973928,0.02459663938923266,0.7232678751847003,0.6,0.0,1,1,1.0,0.075869007,50,0.0,0.0,0,0.0,0.2,0.0,1,6,1.0,1.9166414720000002,0.0,0.014094863852379364,1.1511819060935975,0.044049918160789826,0.13522817009849283,1.2,0.0,1,37,0.7567567567567568,50.40440442199999,53.42550412287065,0.39760078493772133,1.294805997210612,0.3233494246941497,3.111307467904683,3.7,0.0,1,6,0.6666666666666666,8.636512200999999,53.76133144714944,0.03562726012875513,0.9756477744310873,0.017480393263214072,1.972242882529075,0.6,0.0,1,7,1.0,1.9925104790000003,0.0,0.029737139605769555,1.2329845254550211,0.09550921219417731,0.12317438434685919,0.7,0.0,1,43,0.7441860465116279,59.04091662299999,56.07564626129944,0.37234983659599996,1.2515642920840275,0.6565023843455193,2.953082632861754,2.15,0.0,1,50,0.78,61.03342710199999,57.37684211286348,0.3443749441650886,1.346002212805091,0.8214366453810182,2.699523128355704,1.6666666666666667,0.0,1,1.0,31.51853856000338,106.89164455741135,3.845262
9uxPt51Tp1ko6RUkSYodU3YUXEKSjrftSMWRa43spump,2025-01-09T22:09:58.117617,1,1.0,0.24,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,1,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.1,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,1.0,1.24,0.0,0.03200204550744185,0.6129032258064516,0.06612006845452044,0.1444,0.2,0.0,1,1,1.0,0.1,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,3,1.0,1.34,0.0,0.03141494677816122,0.885264634408174,0.07284848387119096,0.15635555555555553,0.15,0.0,1,3,1.0,1.34,0.0,0.03141494677816122,0.885264634408174,0.07284848387119096,0.15635555555555553,0.1,0.0,1,1.0,29.355315315330323,125.79296405841286,579.830548
3ZdoGaUvTgvXUcpWxfFWZGoTDPRyNSqoK8m8rpXGpump,2025-01-09T22:07:29.873415,2,0.5,4.82603647,0.0,0.07367766044185566,0.0,-0.13724353808671913,0.0,0.4,0.0,1,1,1.0,0.009903112,50,0.0,0.0,0,0.0,0.2,0.0,1,9,0.8888888888888888,6.984534225,0.0,0.11808232903706414,0.46473548145724275,0.39885593336925673,0.13007730873196285,1.8,0.0,1,7,0.8571428571428571,3.2016660720000005,99.48418284073314,0.0630541349211126,0.7090706769985686,0.1738713623732483,0.10518045358408104,1.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,2,1.0,1.080198019,0.0,0.024966431699436305,0.8148487624656531,0.05121143006994434,0.1936871381628811,0.4,0.0,1,3,0.6666666666666666,4.835939582,0.3937696435351796,0.07105840878300371,0.7027627085210529,-0.13670097826012484,1.283324954309179,0.3,0.0,1,16,0.875,10.186200297000001,99.8065943298881,0.16525321155889805,0.5964253645451103,0.6600472492892933,0.14417722669701533,1.6,0.0,1,2,1.0,1.080198019,0.0,0.024966431699436305,0.8148487624656531,0.05121143006994434,0.1936871381628811,0.2,0.0,1,19,0.8421052631578947,15.022139879,70.34461205860386,0.16352140458214967,0.8489533270970306,0.2998405968954429,0.4505303273074111,0.95,0.0,1,21,0.8571428571428571,16.102337898,73.03900819237708,0.17608760502344883,0.8566622115063774,0.37348446768979354,0.4314778462017846,0.7,0.0,1,1.0,35.728263609155945,88.86908122165907,428.916682
AnMu7UaszF1bwyuws7zaGZZjvFMPYwKoeGqna92Ppump,2025-01-09T22:10:26.630944,4,1.0,2.3089538000000003,0.0,0.014901793400121014,1.1113931245996544,0.04166952239890063,0.41157208911089405,0.8,0.0,1,1,0.0,0.200000014,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,5,0.8,2.5089538140000003,76.52108418811807,0.013410281194935925,1.1824026041315678,0.028884089224431416,0.35202708530403143,0.5,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,5,0.8,2.5089538140000003,76.52108418811807,0.013410281194935925,1.1824026041315678,0.028884089224431416,0.35202708530403143,0.25,0.0,1,5,0.8,2.5089538140000003,76.52108418811807,0.013410281194935925,1.1824026041315678,0.028884089224431416,0.35202708530403143,0.16666666666666666,0.0,1,1.0,31.478970371124817,32.79068403209873,0.963825
FxNNFViJm6ScH3yajBrcUcUuQZ5qGtSM76FBWutMpump,2025-01-09T22:11:05.567140,4,0.75,2.835052573,76.56429229790088,0.04252958571120147,0.6393591089315128,0.07520985995188327,0.20534870333982402,0.8,0.0,1,4,0.75,2.0092757889999997,77.91462191122719,0.017167258533456138,0.39865785182091973,0.0431228796732558,0.0401014211835808,0.8,0.0,1,4,0.75,0.7126911419999999,73.07534591920026,0.008428343836098922,0.22072854939633438,0.014855147316772583,0.0015466774641254952,0.8,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,0.0,0.736122372,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,8,0.75,4.844328362000001,80.81355581573582,0.060570156627702536,0.6031169702061835,0.1679101347338351,0.13337986377722405,0.8,0.0,1,4,0.75,0.7126911419999999,73.07534591920026,0.008428343836098922,0.22072854939633438,0.014855147316772583,0.0015466774641254952,0.4,0.0,1,1,0.0,0.736122372,50,0.0,0.0,0,0.0,0.1,0.0,1,12,0.75,5.557019504,80.48811441140548,0.06706814651931417,0.778662605205755,0.1952641972934342,0.13002294154880084,0.6,0.0,1,13,0.6923076923076923,6.293141876,69.81683462478416,0.06466394556680334,0.7312682420796556,0.14631806145389195,0.12531462739982263,0.43333333333333335,0.0,1,1.0,32.90290181323636,53.825134225211244,996.060104
Cx4iCMyr2qCyDEEV1kae3H5YY2QTjL8FDpFkjjtypump,2025-01-09T22:11:20.463019,3,0.6666666666666666,0.39628559399999996,75.4796917599066,0.006138153153658267,0.5837434615198087,0.0100320955097398,0.005945907087996268,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0.0,2.535619041,50,0.0,0.0,0,0.0,0.2,0.0,1,3,0.6666666666666666,0.39628559399999996,75.4796917599066,0.006138153153658267,0.5837434615198087,0.0100320955097398,0.005945907087996268,0.3,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,0.0,2.535619041,50,0.0,0.0,0,0.0,0.1,0.0,1,3,0.6666666666666666,0.39628559399999996,75.4796917599066,0.006138153153658267,0.5837434615198087,0.0100320955097398,0.005945907087996268,0.15,0.0,1,4,0.5,2.931904635,8.73682352411744,0.0665122423124197,1.4228246568833673,-0.14035784775938248,1.0876332172915262,0.13333333333333333,0.0,1,1.0,32.96865265610432,33.45854292145117,0.853132
