mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,market_cap_at_30s,peak_market_cap,percent_increase,percent_increase_at_30,time_to_peak,hit_peak_before_30
3xgWgCFa3CpziSP3PFf6XTEETrshA5QdYuv17sz2pump,2025-01-28T16:13:18.998162,2,0.5,0.765588864,0.0,0.011890782424552312,0.0,-0.023502106415202773,0.0,0.4,0.0,1,1,1.0,0.196039603,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,0.099,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,2.145881844,0.0,0.06521323859244939,0.9086438041553233,-0.12244165999780628,0.9504711921718966,0.4,0.0,1,3,0.6666666666666666,0.961628467,33.80298345989118,0.009708697162937131,0.2746499516953965,-0.011500941469281845,0.0077505258121820545,0.3,0.0,1,1,1.0,0.099,50,0.0,0.0,0,0.0,0.1,0.0,1,2,0.5,2.145881844,0.0,0.06521323859244939,0.9086438041553233,-0.12244165999780628,0.9504711921718966,0.2,0.0,1,4,0.75,1.0606284670000001,43.493296244388276,0.008829372546542643,0.4621345063096163,-0.005412499187280931,0.015015623508027584,0.2,0.0,1,6,0.6666666666666666,3.2065103109999997,14.184606254102775,0.04442965298826082,1.2853304438436035,-0.12188522007259278,0.4718374077346883,0.2,0.0,1,1.0,32.576743560104156,28.441532513420995,32.59739973750455,0,-12.693752029123745,25.570506,True
9AAFn1kQAAfK351jkBo8LAvznfbtNV6GbQvFK7iApump,2025-01-28T16:12:00.267887,7,1.0,6.045457035,0.0,0.10889939050677912,0.9039301935244556,0.3725976452356043,0.6094414439044318,1.4,0.0,1,6,0.8333333333333334,4.5730203540000005,14.534418440170214,0.06294272119908471,1.2895437028037227,-0.10737032489271826,0.9659972677188636,1.2,0.0,1,3,1.0,1.036367452,0.0,0.024905011838520844,1.3737814817701264,0.055027100116947086,0.2252269401159466,0.6,0.0,1,3,0.6666666666666666,4.766885686,67.24766635909964,0.009540289033997692,1.0844715880217675,0.011988347958381192,2.9693632010341147,0.6,0.0,1,23,0.8695652173913043,45.64762128899999,60.743408215080514,0.23064921887955597,1.6240761225912494,0.5886122439417022,10.389469994203385,4.6,0.0,1,29,0.7241379310344828,10.647773963999997,42.854870475240084,0.0382300729040596,1.8405945967399353,-0.05305381957551529,0.45670728175021924,5.8,0.0,1,13,0.9230769230769231,10.618477389000002,72.78578422486386,0.13200108557138934,1.078871745416228,0.3204762634357268,0.7765643110630485,1.3,0.0,1,6,0.8333333333333334,5.803253138,95.56092513754238,0.10846661154998882,1.456252050237067,0.3001957518251778,1.983871912080766,0.6,0.0,1,52,0.7884615384615384,56.295395252999995,57.49626657908692,0.15514111580249373,2.1653649450794825,0.4996016969188979,5.495424702209405,5.2,0.0,1,19,0.8947368421052632,16.421730527,81.50402878392364,0.15368572990251675,1.2475840717754163,0.7177724219539647,1.1627069900543097,0.95,0.0,1,71,0.8169014084507042,72.71712578000002,61.516974205420034,0.2841852330673944,2.0353157272313163,1.5907138524517028,4.345305234696705,2.3666666666666667,0.0,1,1.0,33.62566014280372,74.86653586765858,131.2441570849578,0,122.64703666696903,24.673456,True
2Z4RyFi8SHQF6ZJm336j4KG1iv3WpQ7UZizqkP46pump,2025-01-28T16:12:40.116620,8,0.75,7.977000124,58.01860164921001,0.08714525408544398,0.6215648326543871,0.07286406147781281,0.38412457516306037,1.6,0.0,1,18,0.5555555555555556,13.840925309000003,52.15755425917191,0.0832679549056502,0.9784743461307217,0.036505406520368426,0.5660882326907479,3.6,0.0,1,4,0.5,2.1891049590000002,16.312957032251703,0.021886457931997103,0.5189499911200606,-0.045407098740568475,0.08066111194381378,0.8,0.0,1,11,0.45454545454545453,6.945453233999999,49.99450567675935,0.056718577132643486,0.830467877510933,-4.0701745057236544e-05,0.2749549164784137,2.2,0.0,1,12,0.8333333333333334,10.30735387,72.16758217979513,0.10583847616566519,0.5439175796636794,0.2906518802077431,0.21827202219124842,2.4,0.0,1,5,0.2,2.6637335760000003,4.384839067067418,0.037326723380182204,0.7331554225176933,-0.09327118323118934,0.15255753516405515,1.0,0.0,1,26,0.6153846153846154,21.817925433000003,52.34827978283839,0.10493068506405268,0.8603165918950989,0.06429912815203231,0.5211908800847176,2.6,0.0,1,15,0.4666666666666667,9.134558193,41.53301205753306,0.060532096143869944,0.7781051547997682,-0.0743719109253284,0.2245273034322221,1.5,0.0,1,17,0.6470588235294118,12.971087445999999,57.943349910750875,0.09818843532173063,0.6161741981977517,0.1312505120890351,0.22103545854716036,1.7,0.0,1,41,0.5609756097560976,30.952483626000006,51.09678615452834,0.10645046527542477,0.863487622122851,0.04223186774389527,0.42494774061705526,2.05,0.0,1,58,0.5862068965517241,43.923571072000016,53.558787219044824,0.13096530068667453,0.7979801110708556,0.2008222482851113,0.3651938294343693,1.9333333333333333,0.0,1,1.0,34.367799604849075,41.49638551572883,82.52238839426546,98.86644913443388,20.742049222941695,439.515467,False
9tZwGTqGkeVcA91LLf6KjTWKAuYayB4Xj7RNDoGYpump,2025-01-28T16:17:03.036008,3,0.6666666666666666,0.657950674,4.629671729712726,0.008893029301653803,0.6570408337290787,-0.01827240104626019,0.020764854132816604,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,0.657950674,4.629671729712726,0.008893029301653803,0.6570408337290787,-0.01827240104626019,0.020764854132816604,0.3,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,0.657950674,4.629671729712726,0.008893029301653803,0.6570408337290787,-0.01827240104626019,0.020764854132816604,0.15,0.0,1,3,0.6666666666666666,0.657950674,4.629671729712726,0.008893029301653803,0.6570408337290787,-0.01827240104626019,0.020764854132816604,0.1,0.0,1,1.0,34.491866428226544,27.982459396515814,223.0858101163558,697.2344637588678,-18.87229572008238,297.309875,False
CessLfvrgupz8fZs6NomeppbYgXH77mbHq24kuPppump,2025-01-28T16:16:24.848412,1,1.0,0.21929256,50,0.0,0.0,0,0.0,0.2,0.0,1,1,0.0,0.21929256,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,0.43858512,0.0,0.006829411979365,0.0,-0.013566174960937611,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,0.43858512,0.0,0.006829411979365,0.0,-0.013566174960937611,0.0,0.1,0.0,1,2,0.5,0.43858512,0.0,0.006829411979365,0.0,-0.013566174960937611,0.0,0.06666666666666667,0.0,1,1.0,32.24861177589293,28.029373575201834,32.24861177589293,0,-13.083472336769361,0.0,True
C38CpwAkzVDsfmVP8qNHBK7KdNVXY36PwrYt9Ms5pump,2025-01-28T16:16:05.265540,3,1.0,0.32156888299999997,0.0,0.0019123179113978803,0.9937216227663356,0.004264742564503632,0.0113457968867076,0.6,0.0,1,1,0.0,0.255755405,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,0.0,1.154774483,50,0.0,0.0,0,0.0,0.2,0.0,1,3,1.0,0.061802017,0.0,0.0011183154698691596,0.0011179298542540825,0.0027430575356350746,5.303858108889305e-10,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,4,0.75,0.577324288,20.782491599887663,0.0061123004076234465,0.7791979484013549,-0.011991358312722708,0.012647808326528997,0.4,0.0,1,1,0.0,1.154774483,50,0.0,0.0,0,0.0,0.1,0.0,1,3,1.0,0.061802017,0.0,0.0011183154698691596,0.0011179298542540825,0.0027430575356350746,5.303858108889305e-10,0.3,0.0,1,5,0.6,1.732098771,4.622122287333838,0.033833946223756836,1.2023171419353464,-0.08373857485266936,0.17347758855455356,0.25,0.0,1,8,0.75,1.793900788,8.36747337119958,0.04201828593191592,1.6282220510929823,-0.07996724723383727,0.1333042916646557,0.26666666666666666,0.0,1,1.0,30.638506695958945,28.235191372776203,30.76917203957803,0,-7.844100716239303,0.417245,True
2v9Xq8vnqgY4CayC3BLSTi51EnSNi8JpYznR2Czdpump,2025-01-28T16:14:51.513106,5,0.8,7.622108824,62.46098886262554,0.08938294037901871,0.5855527345791038,0.11715472000111182,0.7967871261865529,1.0,0.0,1,1,0.0,0.580700791,50,0.0,0.0,0,0.0,0.2,0.0,1,2,1.0,1.3967635079999998,0.0,0.016305695142033276,0.23230304352997178,0.03315195597149993,0.026320586861746854,0.4,0.0,1,5,1.0,3.3516352019999998,0.0,0.056248088419239464,0.8741608238254689,0.18727412710721628,0.34336510427690525,1.0,0.0,1,1,1.0,0.649364754,50,0.0,0.0,0,0.0,0.2,0.0,1,3,1.0,0.426404936,0.0,0.006711856347118674,0.3078893787304404,0.01624290721715081,0.0019150995397142132,0.6,0.0,1,6,0.6666666666666666,8.202809615,47.14212983064728,0.09810045705431807,0.64917966500233,-0.03559995375307124,0.7876850046540746,0.6,0.0,1,7,1.0,4.748398709999999,0.0,0.08023829470115752,0.7414143324690506,0.2526494873460628,0.25294158235322284,0.7,0.0,1,4,1.0,1.07576969,0.0,0.008360341336434672,0.828737692824356,0.023088991961297267,0.04967670808941763,0.4,0.0,1,13,0.8461538461538461,12.951208325,64.70905503685036,0.09219183931973332,0.7888698872718394,0.2744341063735072,0.61765310758383,0.65,0.0,1,17,0.8823529411764706,14.026978015000001,67.37512762392316,0.10914239632515678,0.9223490226692627,0.35066771239935457,0.5791898916308604,0.5666666666666667,0.0,1,1.0,32.47201657862002,44.09266743336613,50.601185976117506,14.760999779809648,35.786662114472094,196.583038,False
G9Zx7SCF5wriYSVqLhGQfwmm11QiyAf9koBmoNNCpump,2025-01-28T16:12:37.036169,9,0.5555555555555556,20.387859833,43.31995849934776,0.20387880483305462,0.7313802415641113,-0.16541596877842651,2.7450149025803574,1.8,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0.0,0.07285545,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,9,0.5555555555555556,20.387859833,43.31995849934776,0.20387880483305462,0.7313802415641113,-0.16541596877842651,2.7450149025803574,0.9,0.0,1,1,0.0,0.07285545,50,0.0,0.0,0,0.0,0.1,0.0,1,0,0,0,50,0,0,0,0,0,0,0,10,0.5,20.460715283,43.184580372168405,0.21826926149460088,0.8327462756513656,-0.16929736585486402,2.903133600284725,0.5,0.0,1,10,0.5,20.460715283,43.184580372168405,0.21826926149460088,0.8327462756513656,-0.16929736585486402,2.903133600284725,0.3333333333333333,0.0,1,1.0,36.4540158698464,29.275003118202036,55.7313735811216,0,-19.693338526202307,0.664184,True
J7zKF6hQiotoc33JiCmxeWjftHJVtNa2wkqmg18wbmKE,2025-01-28T16:11:11.219536,12,0.8333333333333334,4.583315248,90.86829915258771,0.07083667265876843,1.0408567304756142,0.18406450939353886,0.15804431449212078,2.4,0.0,1,12,0.6666666666666666,6.355395375999999,56.688701591484524,0.0593848640898744,1.2881181935873065,0.044391899053906524,0.4654082568309883,2.4,0.0,1,12,0.5,5.316131518000001,39.53280687510286,0.04474509149899567,1.0122470283873597,-0.05461564080106354,0.20109531931672955,2.4,0.0,1,4,0.75,4.086642185,69.83920195329222,0.04071766192106398,0.09238145552204269,0.0694121947960628,0.00890805409996863,0.8,0.0,1,4,0.5,3.0201004940000002,70.94872709053047,0.02058716327304984,0.37972802851450893,0.045284745503681396,0.08219929922976044,0.8,0.0,1,3,1.0,0.6472638239999999,0.0,0.012846162974531188,0.9044751279226753,0.02906235959768661,0.03808144483291464,0.6,0.0,1,24,0.75,10.938710624000002,67.88403608051819,0.067211652764695,1.235653580763026,0.22398158536082435,0.3171781397935902,2.4,0.0,1,16,0.5625,9.402773703000001,57.01863571078772,0.05625090028363354,0.79053305628716,0.06874122676238403,0.21583012998632298,1.6,0.0,1,7,0.7142857142857143,3.6673643180000006,78.26483313307558,0.025588872158337123,0.7000402591321112,0.0816663048723003,0.13451108135869647,0.7,0.0,1,40,0.675,20.341484327,60.87199688705548,0.07399627463410977,1.0420455488674751,0.27040858882843416,0.28081396639672596,2.0,0.0,1,47,0.6808510638297872,24.008848645,59.99810612834896,0.07756142355794361,0.9963726136604182,0.2974970270002755,0.25905412712992143,1.5666666666666667,0.0,1,1.0,34.86757328814155,47.594480296365376,138.2827456590571,190.54366136154084,36.500696228699816,101.132404,False
CusjUF5MWPt22fQVNNbPyLt9xysdPerJ8UcPGSALwtJr,2025-01-28T16:19:57.729151,4,1.0,2.865330919,0.0,0.03843510255542427,0.5453721241374411,0.11499877136216811,0.1526214099757178,0.8,0.0,1,0,0,0,50,0,0,0,0,0,0,0,13,0.9230769230769231,11.602156996000001,0.0,0.1435709580145783,0.955394250700118,0.6569641589706813,0.7270361710207531,2.6,0.0,1,7,0.5714285714285714,4.548439726,52.54320602860182,0.022399115743966056,0.7758819494091721,0.008628228662465712,0.25416755111645556,1.4,0.0,1,13,0.38461538461538464,7.435919712000001,36.37827898753032,0.029887890186372532,1.7281667789666624,-0.04921846535147766,0.9771336821608825,2.6,0.0,1,8,0.875,2.757128892,0.0,0.04222746779308944,0.8567574216717264,0.15048265104558842,0.08718663473650125,1.6,0.0,1,4,1.0,2.865330919,0.0,0.03843510255542427,0.5453721241374411,0.11499877136216811,0.1526214099757178,0.4,0.0,1,20,0.8,16.150596722,79.72464122686313,0.1298107232788917,0.9389657788044821,0.5949878098209127,0.5749322672870265,2.0,0.0,1,21,0.5714285714285714,10.193048604000005,63.65254223389552,0.05478341928115818,1.6613867338517485,0.08931315440865355,0.6502959920119915,2.1,0.0,1,24,0.8333333333333334,19.015927640999998,73.31751402002028,0.158840224804522,0.8975138703880386,0.5739928793598107,0.5057022510971715,1.2,0.0,1,45,0.7111111111111111,29.208976244999995,60.58393578502705,0.12976328774876555,1.1900035951667285,0.40942128397022765,0.5966287683080357,1.5,0.0,1,1.0,34.55535608708849,48.03968272570051,113.88618128447202,137.06688891919893,39.022392374218356,760.390324,False
