mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,peak_market_cap,time_to_peak,hit_peak_before_30
B2ikCVuXreLaNnWee37KiPqzMKk9WoRUPQqrF7LWpump,2025-01-08T07:36:30.180894,1,1.0,0.012835288,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.05,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.049644152,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,2,1.0,2.253544449,0.0,0.0559132398689773,0.7749816302824564,0.1184493676433246,0.7625267479046783,0.4,0.0,1,1,1.0,0.882178217,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,0.0,0.882178217,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,2,1.0,0.062835288,0.0,0.0014529158917884,0.5914624279274411,0.0029100598557875,0.0003453039545107,0.2,0.0,1,3,1.0,2.303188601,0.0,0.0575680489757441,1.1401331977531048,0.1349546747692618,0.7661744729514668,0.3,0.0,1,2,0.5,1.764356434,0.0,0.0237220908931928,0.0,-0.0463447865474808,0.0,0.2,0.0,1,5,1.0,2.366023889,0.0,0.0523600089512394,1.6231631782918687,0.1415414886048795,0.5899600530801639,0.25,0.0,1,7,0.8571428571428571,4.130380323,78.02885208843638,0.0724394003572371,1.1438489392297704,0.1415414886048795,0.4555345836227855,0.2333333333333333,0.0,1,1.0,36.73722959385056,154.08665324291627,175.530769,False
2vuBJ5t79S4diytSrZY5jGmLSDatZiErquMk5MeMpump,2025-01-08T07:36:14.417606,5,0.6,4.506309148000001,51.36728589110381,0.040723911907045,0.7568097023052929,0.0066679021471294,0.4652381696568472,1.0,0.0,1,1,1.0,0.009624163,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.6666666666666666,4.515933311,51.48801273162003,0.0373842614228997,0.9377124357997876,0.0072747148438562,0.4981176036723577,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.6666666666666666,4.515933311,51.48801273162003,0.0373842614228997,0.9377124357997876,0.0072747148438562,0.4981176036723577,0.3,0.0,1,6,0.6666666666666666,4.515933311,51.48801273162003,0.0373842614228997,0.9377124357997876,0.0072747148438562,0.4981176036723577,0.2,0.0,1,1.0,31.475509248573218,32.92254990945897,2.154446,True
ERbDm4ggxYLgWsK9oVCnNRB6vZf2g4Yyb4hxTv2ppump,2025-01-08T07:36:38.289539,6,0.8333333333333334,1.375607599,97.6411188710498,0.0100800259697283,1.3547671750776291,0.0288032922188978,0.0964752611202897,1.2,0.0,1,3,0.6666666666666666,2.823015965,70.96140025132408,0.0388948409927465,0.491541443206232,0.0589400529018916,0.2139461321948259,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1.536440008,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,1.020718134,0.0,0.0006548874725303,0.957445384231804,0.0013106332623652,0.2387699614031105,0.4,0.0,1,9,0.7777777777777778,4.198623564,79.69721660467529,0.0525723147797572,1.0679216555224085,0.1294748623525234,0.2482033537426461,0.9,0.0,1,1,0.0,1.536440008,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,2,1.0,1.020718134,0.0,0.0006548874725303,0.957445384231804,0.0013106332623652,0.2387699614031105,0.2,0.0,1,10,0.7,5.735063572,54.51939491026197,0.0505194892652506,0.9961927385422392,0.0288032922188978,0.3264098201287166,0.5,0.0,1,12,0.75,6.755781706,62.35776221815927,0.0482146228734088,0.9927302706423462,0.0951595704797188,0.3123570075993939,0.4,0.0,1,1.0,31.21745883809072,93.03486286437192,177.057654,False
HdwDc4obRFnoRQ6Cn3xeoKyXy6PHAw5ZwJez5HHGpump,2025-01-08T07:36:33.435545,1,1.0,0.350058929,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.350058929,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.350058929,50.0,0.0,0.0,0.0,0.0,0.05,0.0,1,1,1.0,0.350058929,50.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,1,1.0,43.825971628556914,148.61408616585132,151.585828,False
6HgRW64uvMc4wHv4PPg71JiaVjoP569q3QJLPJ6Frjab,2025-01-08T07:36:29.438422,2,0.5,0.178199642,0.0,0.0026963496036536,0.0,-0.0053781977060542,0.0,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,2,0.5,0.178199642,0.0,0.0026963496036536,0.0,-0.0053781977060542,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,2,0.5,0.178199642,0.0,0.0026963496036536,0.0,-0.0053781977060542,0.0,0.1,0.0,1,3,0.3333333333333333,3.178199642,0.0,0.0880531074787057,1.2952724735899614,-0.1779985105008705,1.8829644115782735,0.1,0.0,1,1.0,34.01331242510415,34.01331242510415,0.0,True
DidPp5E5YpkWdic5Ybfmqn7wnthEbJZtBkZbZX1Jpump,2025-01-08T07:36:35.065260,3,1.0,3.890985017,0.0,0.0725900309449516,0.7007897569326097,0.1795969185598078,0.8261370475111667,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.8,1.821517702,67.94285063558797,0.0105463970716845,0.860398210368443,0.0170550607532818,0.0982484665014673,1.0,0.0,1,1,1.0,0.001092072,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.010762471,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.001998,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,3,1.0,3.890985017,0.0,0.0725900309449516,0.7007897569326097,0.1795969185598078,0.8261370475111667,0.3,0.0,1,6,0.8333333333333334,1.822609774,67.98480091893974,0.0116208149397107,1.0420376255954198,0.0171173352928291,0.1001963013591789,0.6,0.0,1,2,1.0,0.0127604709999999,0.0,5.599086848187204e-05,0.6868454150320941,0.0001119880072695,1.9203987977460248e-05,0.2,0.0,1,9,0.8888888888888888,5.713594790999999,93.8111159844593,0.0668286792476941,1.1802356844993818,0.269154888796975,0.561398616178158,0.45,0.0,1,11,0.9090909090909092,5.726355261999999,93.82935898254168,0.063288345908789,1.382658410577604,0.2700630310692696,0.5180849843746604,0.3666666666666666,0.0,1,1.0,31.148319717749924,39.56032935344017,28.314131,True
7UharRYzz8kSGj4MRqWzuQfp6ukA8eUf6TmLGrUHpump,2025-01-08T07:36:30.607759,1,1.0,0.673049449,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,0.0,0.673049449,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,1.346098898,0.0,0.0218947582440718,0.0,-0.0428512976848883,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,1.346098898,0.0,0.0218947582440718,0.0,-0.0428512976848883,0.0,0.1,0.0,1,2,0.5,1.346098898,0.0,0.0218947582440718,0.0,-0.0428512976848883,0.0,0.0666666666666666,0.0,1,1.0,29.99485561009356,29.99485561009356,0.0,True
2Dp33TXJF7PgcbzF3Wb8E2JbsBVwAgFdmcdXTUwXpump,2025-01-08T07:36:43.971000,3,1.0,1.623420539,0.0,0.0304846828204844,0.7656746301709719,0.0664521035534718,0.1716754039197463,0.6,0.0,1,3,0.3333333333333333,2.205204369,30.666894218047744,0.0280381651829781,0.3566876326572664,-0.0381163885535937,0.0687434433139438,0.6,0.0,1,4,1.0,0.228683934,0.0,0.0066659482940093,1.442764153042808,0.0140310711627888,0.0068036507702218,0.8,0.0,1,1,1.0,0.020066063,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,3,0.6666666666666666,0.7136917389999999,24.696474350457223,0.0121493453890804,0.6738002495081922,-0.019550954243829,0.0256945588169205,0.6,0.0,1,2,0.0,0.342569175,0.0,0.0046496963390746,0.1545281620858035,-0.009256353445421,0.0007005705078655,0.4,0.0,1,6,0.6666666666666666,3.828624908,46.782636166213805,0.029287799944433,0.5641961134756839,-0.0134050971163424,0.1296114354182191,0.6,0.0,1,5,1.0,0.248749997,0.0,0.0068053867518634,1.5126485924126742,0.0153190222143678,0.0056632046362272,0.5,0.0,1,5,0.4,1.056260914,15.928419377753656,0.0192217991170649,0.6128588351840996,-0.0408170374361361,0.0167619026093416,0.5,0.0,1,11,0.8181818181818182,4.077374904999999,50.51317465437574,0.0260037005532576,1.0760737686752648,0.0022993164748225,0.1590962746736423,0.55,0.0,1,16,0.6875,5.133635819,44.40831447245051,0.0256000088419651,1.080002076591818,-0.032520760114017,0.1200768616992497,0.5333333333333333,0.0,1,1.0,31.00249578657316,33.06267684699859,3.781485,True
E6JjC1FKSWbph3qZoqJT7kHfwCGpTHSRv2Jnr6xCpump,2025-01-08T07:36:53.394005,4,0.75,1.309205133,2.0234321252854954,0.0279076636380139,1.2615831070595265,-0.0628022853703809,0.1705010846720235,0.8,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.009529849,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,4,0.75,1.309205133,2.0234321252854954,0.0279076636380139,1.2615831070595265,-0.0628022853703809,0.1705010846720235,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.009529849,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,4,0.75,1.309205133,2.0234321252854954,0.0279076636380139,1.2615831070595265,-0.0628022853703809,0.1705010846720235,0.2,0.0,1,5,0.6,1.3187349819999998,2.00535576781121,0.0320329689207319,1.4809118157293937,-0.0633922633002891,0.1525574572456671,0.1666666666666666,0.0,1,1.0,30.376241025622125,30.41646999873569,2.967965,True
2ykPbWJvfx7xoS1NdJemChNFKEHbedHQi5WcLVEqpump,2025-01-08T07:36:29.366445,3,0.6666666666666666,0.612137569,50.0,0.0003203483896075,1.3398141606884568,0.0,0.0747385532424118,0.6,0.0,1,1,0.0,0.590668549,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.00999,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,0.0,1.000634212,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,4,0.5,1.202806118,1.769863894106436,0.0162897763036474,0.964301777853112,-0.0370455292219779,0.0840808723977133,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,1.010624212,0.0,0.0327884602878376,0.9802300402436828,-0.0634950167407941,0.2453439886922752,0.2,0.0,1,4,0.5,1.202806118,1.769863894106436,0.0162897763036474,0.964301777853112,-0.0370455292219779,0.0840808723977133,0.2,0.0,1,6,0.5,2.21343033,1.297756867313467,0.0361148259934699,1.039797648134185,-0.0976070136507491,0.1471386862771589,0.2,0.0,1,1.0,31.00249578657316,31.02356866428588,0.848915,True
