mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,peak_market_cap,time_to_peak,hit_peak_before_30,percent_increase
3boyK6L2rrFT4BquJNzDNv2LoDdw8Bd1SxiutCUQpump,2025-01-10T21:11:36.104260,3,0.6666666666666666,4.029105696,0.0002924780568065,0.0524307326222949,0.7071592917813859,-0.1035445682294572,0.902005770328687,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.6666666666666666,4.029105696,0.0002924780568065,0.0524307326222949,0.7071592917813859,-0.1035445682294572,0.902005770328687,0.3,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.6666666666666666,4.029105696,0.0002924780568065,0.0524307326222949,0.7071592917813859,-0.1035445682294572,0.902005770328687,0.15,0.0,1,3,0.6666666666666666,4.029105696,0.0002924780568065,0.0524307326222949,0.7071592917813859,-0.1035445682294572,0.902005770328687,0.1,0.0,1,1.0,34.759319658419706,251.5636851725362,190.371904,False,623.73%
3ZssqrW1PP154yFj8sRaRo9FWZbuZ7ZVNLPbnyJDpump,2025-01-10T21:12:39.370203,3,1.0,2.657312086,0.0,0.0188569384021586,0.8276776519699616,0.0465444583904099,0.5374834228150579,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.00999,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,0.0,0.00999,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.04,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1.0,2.657312086,0.0,0.0188569384021586,0.8276776519699616,0.0465444583904099,0.5374834228150579,0.3,0.0,1,2,0.5,0.01998,0.0,0.0003016094182951,0.0,-0.000603036954965,0.0,0.2,0.0,1,1,1.0,0.04,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,5,0.8,2.677292086,98.6791053336008,0.0175818724420447,1.3292086702714956,0.0465444583904099,0.5065680920054835,0.25,0.0,1,6,0.8333333333333334,2.717292086,98.74548502631656,0.0168758093287547,1.4914508116316298,0.0490740754758137,0.4562343882232264,0.2,0.0,1,1.0,32.556034674780435,34.15369197760382,21.810472,True,4.91%
6p56iWkiougi3D68j4dRLt1sVS2D5jBuX27e81R3pump,2025-01-10T21:13:10.177621,10,1.0,6.4164466860000005,0.0,0.1223040325527685,0.5713747521629615,0.3968933999839672,0.1344099043394718,2.0,0.0,1,6,0.5,3.260680463000001,49.41612216442565,0.01901416844455,0.6765418654377361,-0.0012460936477569,0.1351771653233579,1.2,0.0,1,1,0.0,0.097604108,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,1,1.0,0.01988374,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,2,1.0,1.082669083,0.0,0.0143853575488252,0.0945716476139552,0.0291906327873732,0.0026209177348151,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0.8125,9.677127149,87.41106942619723,0.1354202658603009,0.6118806347444021,0.4732169838964856,0.1369576660588541,1.6,0.0,1,2,0.5,0.1174878479999999,0.0,0.000492277951768,0.6615183554983491,0.0009850408174121,0.0015101139005138,0.2,0.0,1,2,1.0,1.082669083,0.0,0.0143853575488252,0.0945716476139552,0.0291906327873732,0.0026209177348151,0.2,0.0,1,18,0.7777777777777778,9.794614997,86.47177270841942,0.1322511018247922,0.7149741375144226,0.4675652040535876,0.1513597473021981,0.9,0.0,1,20,0.8,10.87728408,87.96798157533881,0.1322750721534814,0.6792888609267157,0.5472745143401819,0.1364865753668335,0.6666666666666666,0.0,1,1.0,34.55180178921123,53.46112233298004,21.743095,True,54.73%
7jFSNwiZ6ntujxNSc6j68KMo9mRKqbtLo2xprNAhpump,2025-01-10T21:14:53.885864,2,1.0,0.491897549,0.0,0.0079018655102094,0.0081924640775146,0.0159296046137071,4.05992880040225e-06,0.4,0.0,1,3,1.0,0.811154442,0.0,0.0189017715020167,0.6246116380298278,0.0457966045374376,0.0285223126408647,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1.0,2.332090891,0.0,0.0356490968694549,0.5911842721713508,0.1166481154804917,0.023466680993664,1.8,0.0,1,16,0.8125,4.136548406,60.65515571132657,0.0275259675497284,0.938741234075366,0.0416122582541085,0.0589017293116339,3.2,0.0,1,1,1.0,0.5,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,5,1.0,1.303051991,0.0,0.0228568445907496,0.5040893515095539,0.0698056297674996,0.0172583203623859,0.5,0.0,1,9,1.0,2.332090891,0.0,0.0356490968694549,0.5911842721713508,0.1166481154804917,0.023466680993664,0.9,0.0,1,17,0.8235294117647058,4.636548406,65.8039305905476,0.0267394205403544,0.8880621487480489,0.0710130619458454,0.0586649187247863,1.7,0.0,1,14,1.0,3.635142882,0.0,0.0692805633954483,0.5614165153601114,0.2324540341038058,0.0212499185011279,0.7,0.0,1,31,0.9032258064516128,8.271691288,82.96332748768421,0.1108108990129778,0.7663173047349073,0.3842518049385622,0.041810225792009,1.0333333333333334,0.0,1,1.0,29.370527237508263,59.420180067469296,55.998389,False,102.31%
C9gDB9wsVb3ReKQft2kVJNKFSHY9s7ykPY6LqUP8pump,2025-01-10T21:15:38.286097,3,1.0,2.810321439,0.0,0.067423126608516,0.7929271425080068,0.1740598060786215,0.5517420094102731,0.6,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.6666666666666666,2.32299096,0.4159805377799728,0.0615278346574957,1.1888217346234384,-0.1198203024354676,0.847395206488656,0.6,0.0,1,1,1.0,0.008801634,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,5,1.0,1.97529937,0.0,0.0385933713266865,0.4533637905443899,0.1128112739374477,0.0320789026272915,1.0,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1.0,2.810321439,0.0,0.067423126608516,0.7929271425080068,0.1740598060786215,0.5517420094102731,0.3,0.0,1,4,0.75,2.331792594,0.8228397404569705,0.0570091549850037,1.481060736403974,-0.1193246341169515,0.7454278115706582,0.4,0.0,1,5,1.0,1.97529937,0.0,0.0385933713266865,0.4533637905443899,0.1128112739374477,0.0320789026272915,0.5,0.0,1,7,0.8571428571428571,5.142114033,57.34087701378279,0.0623114780099595,1.1333073721386142,0.0493418590189486,0.6930790231000115,0.35,0.0,1,12,0.9166666666666666,7.117413403,69.67867451384748,0.0563120358891091,1.125567073687328,0.1860917597598142,0.4456815459138922,0.4,0.0,1,1.0,28.951810624433723,38.716093747310616,369.104167,False,33.73%
yj5zDZBEbAkqMDTstVtV9YY9SRe2jWGyvfe73jcpump,2025-01-10T21:15:21.439730,4,0.75,1.600123042,54.64385768016808,0.0109533694558767,0.2637739502783737,0.0061651692911799,0.0111339837322939,0.8,0.0,1,11,0.8181818181818182,9.441173845000002,89.93968139872388,0.1158893083486931,0.3879748377954736,0.4308834796270293,0.11088523962107,2.2,0.0,1,2,0.5,4.685828632,0.0,0.1179163625504548,0.9790816507179516,-0.21095739627862,5.261997469744301,0.4,0.0,1,3,1.0,1.427395006,0.0,0.0282299639065493,0.8046213367493976,0.0673751453422011,0.1465645457395236,0.6,0.0,1,7,0.8571428571428571,1.917563214,88.83589537932328,0.0298004444671934,1.1125002403818816,0.0787897068010673,0.0928760050333914,1.4,0.0,1,16,0.5625,7.618454789999999,31.293402307397315,0.151965948449895,1.1092271733003942,-0.2070233473928436,0.2789554330742851,3.2,0.0,1,15,0.8,11.041296887,87.54924949290869,0.1646159509495687,0.4809900862581237,0.5320617438966532,0.1253516074751919,1.5,0.0,1,5,0.8,6.113223638,22.793804932892986,0.0887412256763168,1.4235690390414937,-0.1486758431500616,3.0294070158040385,0.5,0.0,1,23,0.6521739130434783,9.536018004,43.819537269996864,0.1499505589299149,1.1591723793348474,-0.097675094093089,0.2309800660291461,2.3,0.0,1,20,0.8,17.154520525,63.57964671728486,0.1492654805639013,1.1034325548095525,0.3073669377375417,0.8957540124223937,1.0,0.0,1,43,0.7209302325581395,26.690538529,54.156606780429165,0.1539221199273895,1.23645550624092,0.1800217186645414,0.5890263831595539,1.4333333333333331,0.0,1,1.0,34.846592344743264,77.08148203896161,106.107794,False,121.20%
4roNfR4x8Vz6AR4gajRj7XunE2TesJ2ncBLDx3jipump,2025-01-10T21:14:45.326779,1,1.0,1.563218272,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.15,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.563218272,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.15,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,1,1.0,1.563218272,50.0,0.0,0.0,0.0,0.0,0.05,0.0,1,2,1.0,1.713218272,0.0,0.0047395766902763,0.824890964039403,0.0095242945047788,0.4992964710786665,0.0666666666666666,0.0,1,1.0,30.968254490278927,31.46250194196078,31.295141,False,1.60%
5965e7K4RjgJjBrgLi66LHvowkX3aAPkELCxsfwspump,2025-01-10T21:16:05.140077,2,1.0,0.188354037,0.0,0.0006505582188054,0.7915181610893746,0.0013019634406278,0.0055566320880952,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,0.5,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,0.188354037,0.0,0.0006505582188054,0.7915181610893746,0.0013019634406278,0.0055566320880952,0.2,0.0,1,1,1.0,0.5,50.0,0.0,0.0,0.0,0.0,0.1,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1.0,0.688354037,0.0,0.0158889637039314,0.8749364466938082,0.0347428940777809,0.0403027085728522,0.15,0.0,1,3,1.0,0.688354037,0.0,0.0158889637039314,0.8749364466938082,0.0347428940777809,0.0403027085728522,0.1,0.0,1,1.0,28.278109214279755,34.079452120830204,341.672165,False,20.52%
AAGTvt2WbBunMmMR2t25N5irN1LKuSBetFuSKaSEpump,2025-01-10T21:14:30.050035,3,1.0,1.817972837,0.0,0.018692104564197,0.5938617795467228,0.0462312963623019,0.1295099158552953,0.6,0.0,1,1,1.0,0.01,50.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1.0,1.827972837,0.0,0.0184425218199551,0.8854395383922025,0.0468808677486226,0.1637334132633429,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1.0,1.827972837,0.0,0.0184425218199551,0.8854395383922025,0.0468808677486226,0.1637334132633429,0.2,0.0,1,4,1.0,1.827972837,0.0,0.0184425218199551,0.8854395383922025,0.0468808677486226,0.1637334132633429,0.1333333333333333,0.0,1,1.0,30.821071873563184,37.13113255131012,318.551858,False,20.47%
AEjC6pjHEseW46rdcy3GjrC6tuH8JKYSxLyytREopump,2025-01-10T21:18:01.697691,2,1.0,0.01988775,0.0,0.0006522714953209,0.9849153373307687,0.0013053944622396,9.591998751562498e-05,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.5,0.050149699,0.0,0.001650434161183,0.9940100936597844,0.0033063251944149,0.000621238352095,0.4,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,0.01988775,0.0,0.0006522714953209,0.9849153373307687,0.0013053944622396,9.591998751562498e-05,0.2,0.0,1,2,0.5,0.050149699,0.0,0.001650434161183,0.9940100936597844,0.0033063251944149,0.000621238352095,0.2,0.0,1,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.75,0.070037449,99.78519592195047,0.0017008422892425,1.1646090179295998,0.0046060661544291,0.0004158157671352,0.2,0.0,1,4,0.75,0.070037449,99.78519592195047,0.0017008422892425,1.1646090179295998,0.0046060661544291,0.0004158157671352,0.1333333333333333,0.0,1,1.0,28.42720021815777,30.7290105420466,481.111592,False,8.10%
