mint,creation_time,transaction_count_0to5s,buy_pressure_0to5s,volume_0to5s,rsi_0to5s,price_volatility_0to5s,volume_volatility_0to5s,momentum_0to5s,trade_amount_variance_0to5s,transaction_rate_0to5s,trade_concentration_0to5s,unique_wallets_0to5s,transaction_count_5to10s,buy_pressure_5to10s,volume_5to10s,rsi_5to10s,price_volatility_5to10s,volume_volatility_5to10s,momentum_5to10s,trade_amount_variance_5to10s,transaction_rate_5to10s,trade_concentration_5to10s,unique_wallets_5to10s,transaction_count_10to15s,buy_pressure_10to15s,volume_10to15s,rsi_10to15s,price_volatility_10to15s,volume_volatility_10to15s,momentum_10to15s,trade_amount_variance_10to15s,transaction_rate_10to15s,trade_concentration_10to15s,unique_wallets_10to15s,transaction_count_15to20s,buy_pressure_15to20s,volume_15to20s,rsi_15to20s,price_volatility_15to20s,volume_volatility_15to20s,momentum_15to20s,trade_amount_variance_15to20s,transaction_rate_15to20s,trade_concentration_15to20s,unique_wallets_15to20s,transaction_count_20to25s,buy_pressure_20to25s,volume_20to25s,rsi_20to25s,price_volatility_20to25s,volume_volatility_20to25s,momentum_20to25s,trade_amount_variance_20to25s,transaction_rate_20to25s,trade_concentration_20to25s,unique_wallets_20to25s,transaction_count_25to30s,buy_pressure_25to30s,volume_25to30s,rsi_25to30s,price_volatility_25to30s,volume_volatility_25to30s,momentum_25to30s,trade_amount_variance_25to30s,transaction_rate_25to30s,trade_concentration_25to30s,unique_wallets_25to30s,transaction_count_0to10s,buy_pressure_0to10s,volume_0to10s,rsi_0to10s,price_volatility_0to10s,volume_volatility_0to10s,momentum_0to10s,trade_amount_variance_0to10s,transaction_rate_0to10s,trade_concentration_0to10s,unique_wallets_0to10s,transaction_count_10to20s,buy_pressure_10to20s,volume_10to20s,rsi_10to20s,price_volatility_10to20s,volume_volatility_10to20s,momentum_10to20s,trade_amount_variance_10to20s,transaction_rate_10to20s,trade_concentration_10to20s,unique_wallets_10to20s,transaction_count_20to30s,buy_pressure_20to30s,volume_20to30s,rsi_20to30s,price_volatility_20to30s,volume_volatility_20to30s,momentum_20to30s,trade_amount_variance_20to30s,transaction_rate_20to30s,trade_concentration_20to30s,unique_wallets_20to30s,transaction_count_0to20s,buy_pressure_0to20s,volume_0to20s,rsi_0to20s,price_volatility_0to20s,volume_volatility_0to20s,momentum_0to20s,trade_amount_variance_0to20s,transaction_rate_0to20s,trade_concentration_0to20s,unique_wallets_0to20s,transaction_count_0to30s,buy_pressure_0to30s,volume_0to30s,rsi_0to30s,price_volatility_0to30s,volume_volatility_0to30s,momentum_0to30s,trade_amount_variance_0to30s,transaction_rate_0to30s,trade_concentration_0to30s,unique_wallets_0to30s,initial_investment_ratio,initial_market_cap,peak_market_cap,time_to_peak
4T2FqYLehmrzTUDMVpE45x5opdDHQPjwEqn5Tzn7pump,2025-01-08T00:53:18.946547,1,1.0,0.590580596,50,0.0,0.0,0,0.0,0.2,0.0,1,2,0.5,0.640080596,0.0,0.0015701938790225612,0.8453319775374037,0.003145326530510858,0.07319205284192881,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.0792,50,0.0,0.0,0,0.0,0.2,0.0,1,2,1.0,0.39970638,0.0,0.00940444877957437,0.5001330726820021,0.01898746419361156,0.009990640191176098,0.4,0.0,1,2,0.5,2.665339344,0.0,0.05108107426238694,0.23591611155085998,-0.09719721059240631,0.09884625771667299,0.4,0.0,1,3,0.6666666666666666,1.2306611920000001,7.6726477893895435,0.016917651202136615,0.6217824387202399,-0.0334377873663537,0.06505960252615894,0.3,0.0,1,1,1.0,0.0792,50,0.0,0.0,0,0.0,0.1,0.0,1,4,0.75,3.065045724,44.57814399382347,0.038722432271240434,0.799421295956758,-0.02063025063210182,0.3752367444266386,0.4,0.0,1,4,0.75,1.309861192,17.78603095769334,0.014856785066163872,0.8041302285668191,-0.02857889497796198,0.0693399212916288,0.2,0.0,1,8,0.75,4.3749069160000005,40.99313490795724,0.031700999865822525,0.9509192983134721,-0.04260014916535718,0.2704238444430721,0.26666666666666666,0.0,1,1.0,31.99146825122252,94.44972495189178,82.824448
81gx6MwKvUGsd7FUDecT93wheYAQHZ7dWN3vfYEhpump,2025-01-08T00:53:18.327365,6,0.5,3.1783411960000003,3.6217170278983843,0.07369132407524802,1.2506049896733895,-0.14189115138595548,0.4388729839883177,1.2,0.0,1,3,1.0,0.030029932999999998,0.0,0.0005429318569646376,0.000542836882777477,0.0013307907256889478,2.952602022222556e-11,0.6,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.01,50,0.0,0.0,0,0.0,0.2,0.0,1,9,0.6666666666666666,3.208371129,4.689166220313481,0.06957039153451658,1.6657198290247421,-0.14017792168294324,0.35260469583555115,0.9,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.01,50,0.0,0.0,0,0.0,0.1,0.0,1,9,0.6666666666666666,3.208371129,4.689166220313481,0.06957039153451658,1.6657198290247421,-0.14017792168294324,0.35260469583555115,0.45,0.0,1,10,0.7,3.218371129,5.039631201585522,0.06764421929325237,1.7799154644213433,-0.13960703514239886,0.32814893569441905,0.3333333333333333,0.0,1,1.0,32.793829930032786,32.79383202413233,0.664728
EaMkUuYJmoCRHCxWojRWSo6ndoicmR7WhCq1mAsbpump,2025-01-08T00:52:54.435937,1,1.0,1.125,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,4,0.5,1.9424580809999998,9.724067218942167,0.02898703944089402,0.9114757285696478,-0.06058066448292552,0.1959176418921312,0.8,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.01,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,1.125,50,0.0,0.0,0,0.0,0.1,0.0,1,4,0.5,1.9424580809999998,9.724067218942167,0.02898703944089402,0.9114757285696478,-0.06058066448292552,0.1959176418921312,0.4,0.0,1,1,1.0,0.01,50,0.0,0.0,0,0.0,0.1,0.0,1,5,0.6,3.0674580810000003,5.889706467813625,0.04716951855204846,0.7682613315611804,-0.10442944844212061,0.22214432018812696,0.25,0.0,1,6,0.6666666666666666,3.077458081,6.360240272082478,0.04498619559969058,0.946547657545596,-0.10383463115796157,0.23570389610450693,0.2,0.0,1,1.0,31.464138707600565,31.953600895680154,150.037484
AQP2edsF6XXBdk5gQVU5gp1bc5MQB2qeShPpeLZhpump,2025-01-08T00:53:31.680970,1,1.0,1.125,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,4,0.5,1.8624580629999998,9.676734476260492,0.02991438683192975,0.9303456477625881,-0.06092611914917323,0.18764702481956225,0.8,0.0,1,3,1.0,0.030265760000000003,0.0,0.0005468282587884239,0.0005467408826036582,0.0013403476687915904,3.042452155555122e-11,0.6,0.0,1,6,1.0,1.070345895,0.0,0.019644033396085853,0.3423807146280848,0.0565215782723118,0.0037304771394683863,1.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.125,50,0.0,0.0,0,0.0,0.1,0.0,1,7,0.7142857142857143,1.8927238229999999,11.879361697888456,0.02339451791488198,1.470279827832951,-0.059037774803677834,0.1580441461304789,0.7,0.0,1,6,1.0,1.070345895,0.0,0.019644033396085853,0.3423807146280848,0.0565215782723118,0.0037304771394683863,0.6,0.0,1,8,0.75,3.0177238230000003,7.61830732481809,0.03980931201543542,1.2382539726849757,-0.09809998411657714,0.21817172665412826,0.4,0.0,1,14,0.8571428571428571,4.088069718000001,40.90104285082417,0.03524487936677033,1.262694975709093,-0.032922162698388636,0.13594943930158995,0.4666666666666667,0.0,1,1.0,31.306151755130834,32.24616398956225,36.392536
Bp54FhyWDd9KETtTaHsLYj8p8GaArmi7h461mJhDpump,2025-01-08T00:52:53.603317,2,0.5,1.181161192,0.0,0.01857286585418085,0.0,-0.03646840884300514,0.0,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,1.181161192,0.0,0.01857286585418085,0.0,-0.03646840884300514,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0.5,1.181161192,0.0,0.01857286585418085,0.0,-0.03646840884300514,0.0,0.1,0.0,1,2,0.5,1.181161192,0.0,0.01857286585418085,0.0,-0.03646840884300514,0.0,0.06666666666666667,0.0,1,1.0,31.99146825122252,31.99146825122252,0.0
NszPRmL7mz86pBMpxEiDuMgntSzDC5LfGpzTE4Qpump,2025-01-08T00:54:02.393274,2,0.5,1.18130146,0.0,0.018811669057877768,0.0,-0.036928648599546206,0.0,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.04,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,1.002615466,50,0.0,0.0,0,0.0,0.2,0.0,1,1,1.0,0.05,50,0.0,0.0,0,0.0,0.2,0.0,1,2,0.5,1.18130146,0.0,0.018811669057877768,0.0,-0.036928648599546206,0.0,0.2,0.0,1,1,1.0,0.04,50,0.0,0.0,0,0.0,0.1,0.0,1,2,1.0,1.052615466,0.0,0.001554357358285061,0.9049985457842398,0.003113554292595238,0.22686905651559927,0.2,0.0,1,3,0.6666666666666666,1.22130146,6.290531222233,0.017265237513704342,0.6376294109209083,-0.03444970148736889,0.06738138365545177,0.15,0.0,1,5,0.8,2.273916926,65.09158189151577,0.029634729054222646,0.8066717928901564,0.031929932932000166,0.134586941018321,0.16666666666666666,0.0,1,1.0,31.19904764506864,32.19523114391796,29.971905
xbHb4iiN7ii5VL3aBJtd6epAxcTZMavaobNJAwHpump,2025-01-08T00:54:05.217012,2,1.0,1.250001084,0.0,3.4130609517668944e-08,0.9999982656015041,6.826122136513498e-08,0.3906243225002938,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,0.0,1.084e-06,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.1,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,2,1.0,1.250001084,0.0,3.4130609517668944e-08,0.9999982656015041,6.826122136513498e-08,0.3906243225002938,0.2,0.0,1,1,0.0,1.084e-06,50,0.0,0.0,0,0.0,0.1,0.0,1,1,1.0,0.1,50,0.0,0.0,0,0.0,0.1,0.0,1,3,0.6666666666666666,1.250002168,50.0,3.217864761405739e-08,1.4142098831614724,0.0,0.34722162000026113,0.15,0.0,1,4,0.75,1.350002168,99.9989180803696,0.0027276224295702607,1.565660266457666,0.006309132618064661,0.27921838415029376,0.13333333333333333,0.0,1,1.0,31.316014290071195,31.513591177296462,20.477556
EHax7vYcVwJh8PeWocX1W2HD712GvE1AkLRP1zrepump,2025-01-08T00:54:06.445713,5,0.6,4.348434857,44.05902414395212,0.05227904379334249,0.6263067152938171,-0.028521746905602892,0.2966880571371665,1.0,0.0,1,0,0,0,50,0,0,0,0,0,0,0,2,0.5,0.141156756,0.0,0.004167248370805114,0.8584552339811493,-0.008299908959520834,0.003670951548670884,0.4,0.0,1,1,1.0,0.004,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,1.0,0.0495,50,0.0,0.0,0,0.0,0.2,0.0,1,5,0.6,4.348434857,44.05902414395212,0.05227904379334249,0.6263067152938171,-0.028521746905602892,0.2966880571371665,0.5,0.0,1,3,0.6666666666666666,0.145156756,2.953506031370736,0.0038755745143836604,1.210818987568528,-0.008047310126020502,0.0034323411251385625,0.3,0.0,1,1,1.0,0.0495,50,0.0,0.0,0,0.0,0.1,0.0,1,8,0.625,4.4935916129999995,42.82473850712827,0.05397694533816569,1.045411509145973,-0.035728803454616494,0.3448115308408657,0.4,0.0,1,9,0.6666666666666666,4.543091613,43.51472245819652,0.05286464502489908,1.1421629650789855,-0.03268753704224795,0.33241002899886823,0.3,0.0,1,1.0,31.79243112397576,38.847584632732264,77.855934
Cy7EpRGVWkVDGEF8CQWTf2brneZGSKpET88nCbApump,2025-01-08T00:53:28.786624,4,1.0,0.7439562880000001,0.0,0.008812388848855645,0.7569356527886197,0.021094073957013033,0.01981950384335613,0.8,0.0,1,2,0.0,3.461484748,0.0,0.01087430291608126,0.8086885362176959,-0.02151464902156881,1.9589683833797213,0.4,0.0,1,2,0.5,0.170527626,0.0,0.0039831071202127,0.4141711677848608,-0.007934609839477667,0.0012470653885989687,0.4,0.0,1,0,0,0,50,0,0,0,0,0,0,0,1,0.0,8.38e-07,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,6,0.6666666666666666,4.205441036,9.595249371178525,0.08834828255401912,1.5606049588672963,-0.17765057790766864,1.1964830779199007,0.6,0.0,1,2,0.5,0.170527626,0.0,0.0039831071202127,0.4141711677848608,-0.007934609839477667,0.0012470653885989687,0.2,0.0,1,1,0.0,8.38e-07,50,0.0,0.0,0,0.0,0.1,0.0,1,8,0.625,4.375968662,10.392470010453962,0.09947123460214624,1.799365208005889,-0.18148202585011902,0.9687396377632375,0.4,0.0,1,9,0.5555555555555556,4.3759695,10.392467950296776,0.10092599816511168,1.9409862750225244,-0.1814820712659772,0.8906528926072347,0.3,0.0,1,1.0,34.642184236274396,35.37292903258684,2.512773
53YXTkvBgGmHR5HUkZW6ZKDQgGGxq2kWRHPCtxFPpump,2025-01-08T00:53:18.908513,2,1.0,1.189101078,0.0,3.349541987526741e-08,0.9999981868656584,6.699084199442119e-08,0.3534890615753905,0.4,0.0,1,1,0.0,1.078e-06,50,0.0,0.0,0,0.0,0.2,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,1.189102156,50.0,3.1579785062582384e-08,1.4142097161378178,0.0,0.31421249917812494,0.3,0.0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,3,0.6666666666666666,1.189102156,50.0,3.1579785062582384e-08,1.4142097161378178,0.0,0.31421249917812494,0.15,0.0,1,3,0.6666666666666666,1.189102156,50.0,3.1579785062582384e-08,1.4142097161378178,0.0,0.31421249917812494,0.1,0.0,1,1.0,32.18820002516306,32.602058309152085,108.031228
