feature,importance
market_cap_norm,743
volume_volatility_ratio,516
early_intensity,496
late_intensity,471
momentum_evolution,336
price_volatility_evolution,330
tx_rate_stability,317
vol_decay_0,297
vol_decay_15,265
rsi_prog_1,259
volume_evolution,255
rsi_prog_0,242
vol_decay_5,224
transaction_rate_evolution,198
vol_evolution_0,192
vol_decay_20,187
vol_decay_10,136
vol_evolution_15,135
vol_evolution_5,113
vol_evolution_20,109
vol_evolution_10,109
mom_consistency,62
concentration_evolution,0
wallet_growth,0
