Mint                                         Time to Peak
------------------------------------------------------------
BsopYrCBbuqPRUCWHCyL2v5NjLxuHQkKHtq1XWR4pump  0.0
GThgrsVR8su3MFKqsYGpaj29oqaBGk9qiD2MkEJjpump  0.0
BqWLpgtKDo9XgN26cFfA8aNY2UNNmK1y1WKJ4844DZNF  0.0
BdXrRjtoRmmCeHfz8GvLQZtPjAd8PZzztASWVTaXpump  0.0
nUC4fb1FPCCLRpJ2GRVGLieFc17F4EBkmBJwPYgpump   0.0
9KVHsRdC9omdeodkVokYvTCfPbCojqX68Y1cMFLxpump  0.0
BNoMjTo955QxSQdYTAKJnrXKz2HxP7RsYqLw2Tevpump  0.0
5fWYMVqWxPQiWS6rL2aFuyS8JLPDWTVDSRruJEtpump   0.0
F4w1H8nhJMgQkK1ovn3MRFusU9dUXb6tAhCzSjZxpump  0.0
DoJcBLNEnwzMnxRtug6GsCMVVYPGgVCgbeoP33hSpump  0.0
zLKm8DrX92WowYCYWwLdBkHJd6qFwdY1iLvhkwDpump   0.0
5yxtfwzzCKGc3BVSyJHgUEGaT5rGUgQu6dKjzgUTpump  0.0
9nb8bgfenV62VMBpFUGySZbmhkYkjYEi8fGYVRtrpump  0.0
Hz5G4vPY4BRFi6PwckanPVvPTc7PmJ6TKJ9vrmUQ5mPn  0.0
Hggh3EvoWAbpTdArmRpdwDYYEn1eHxhS2W51oVWapump  0.0
92eJEwLzi2KgYBf6iLoYtjxE12A4N6FUuNs3xyeRpump  0.0
GHsePr1D72r8BSUKxVZrkew4a6rb1MqFefG8yivipump  0.0
69TGLv8ynD2381QQx856ynd7vrT5cLdp2VpC528zpump  0.0
95Cq2NZyiJX9ezsXPJE58BBTszwXuCVoVKGUo67upump  0.0
2uK17tTS9QJwowdJhKbRAvPPkK2d6yeFSJoTdM4spump  0.0
49XPQBG2YD8kyKHFHvszK5cTDHbZNQo6BBTvZM7qpump  0.0
8Eqa9zCyiW1fNdXEXUvCktYxBfQVseD3TiWTaomLpump  0.0
6GAj4FZ7uowPySvjsDtpnupkZc2DFahHD2nogaMQ1Djv  0.0
9kvJVDWxpjAk9L5BjLjVjSnjwqhy5Nyo4eoqvnShpump  0.0
H3TkLhK2nmisKQPRsNdrEnnFkxG7Wq7MtLseoogTZ4JV  0.0
EsguYkFxPS6qvPif6LXaAA8fB3RrdrnJXke7qx3xpump  0.0
4QPeFo6vrRqFtYpHZ3L8yCv57RzwZEXGBWboT9ySpump  0.0
gUFKjov1VrEDfTx3ahKD6uX45z8ZxKaz5eF6zmupump   0.0
AZPBpNm1hPMKSWe6aGUZsBQgZDXSSRKQYepzksmpump   0.0
DW6gEB5V52jVU43pHRHXd4ZhJRdTWC9CJW6BeN3wpump  0.0
HgR8yP18QzSL6DcWJr4aU2edvSnr9uEzZXBG96Kdpump  0.0
Bdpv81evMM4ybeMA9dxu1RRZBdgLC7jkriBHgDWLpump  0.0
5Neef2CnHq5jnsbQ7BF59UFvMmsz5JW9HMrj8Cp2uQZS  0.0
G8XHQBfMYzzDXWosA8y28KaLFtq2CreewpYjfNP3DeGn  0.00145
EwCcPqpC9inB1nTmQ3JUSxnSSQEeUYvrcqQ4bzDbpump  0.003217
EP5zwJWBpeAfryU2bWUfpsm7UJR8d8dJGviDyFw8pump  0.031435
AG4SJsoFG15x2HXz5GtHq78L744cgdnU44xZfXnrpump  0.039702
HDgtSSBfDHgT6Ch6XRAHAJLAZfaRtLVz4evqPb7n9Bof  0.04309
CkQVYBab7jpx2oZ7FXJPHhUztvUZZqQcTCWLdoTBMxFs  0.077439
89jX2qZ3iME47gE66bZbnf6deaPMwsPfN9Lg79K8pump  0.130973
EB28p55qg1uaumV16KHzaksXv3eV3bzVg163xK3Gpump  0.166404
FoG4j6hAS9ChKf6EPPDz34GnZJaRafFEWiKgyMDYpump  0.18798
F3KrYCruWiPHfcVvNBsjM9WjUJsUwtCzD9TgwwsLpump  0.221868
65XfJRmexoc1J1DKd5LdYdHDW33yuGfEgP7eSKifvNwy  0.240116
51zMDDKjaxXMSchawo6vCqNXXq2RNFujJHdARinpump   0.310783
5wwX1SJTRz7K9EX4C9wbK32UeihxAx7J6q2e1nJupump  0.375715
8H8cAyv6KFA84ksHhbwPHq3PhQDhaz3bYF8MURBZpump  0.444881
BK7kpiE3x4iwtL3Tnd4gJHGvKHBRFeashXSbMsyJpump  0.451739
3axd6NG5HwsqLFc5vbQmFAEyDbAxS9Voz8T2aY1Tpump  0.472048
AYwKiGLvvXZCiw98sr1wcPvtv7WZSkuLfFW1THYmpump  0.482759
ATyxKAYnYaBKnDxLhrqKZpbFZMZS3p8YczRAzmMbpump  0.490972
6xR51G1GtjCFTvpofSeFiD9TDEKCvb9CmDuvL7ZJpump  0.507328
GrtuuoMcpMpRDAqEJE9v9pdvq8nBAiNN7cvEYV6cpump  0.510133
5xmvt6U79vABFMPkUqzQyfvZSgNLXoQpMx6G71afpump  0.634021
Cj1JxNC1XdFRY4YhfVHgS6KfvjyRC9GHz89cB9Nppump  0.666063
H8DcP1X8UoAFFkJHFFHxREZbFkFH1FLtMFCWgCwkpump  0.811693
HzLnbumgCifuaZ2BjxrhJ8YQmCf6xQb8nZDYjvKKpump  0.811722
6xXvqVt89KLy4Gt7LBfrNuDGkT886JdbivZojE42pump  0.839645
Cx4iCMyr2qCyDEEV1kae3H5YY2QTjL8FDpFkjjtypump  0.853132
CxPzo8u5vHZW85wD5dWFfzEp3zK8XMcgobNgLtUXpump  0.910848
8YUrYSV3mmbEjYGTknYVDt9DYT2Xz2UrmuJRbEjUpump  0.918028
J4WTjt6kXkjDjCUsij65Vsbq9qqvG5LJJbuFKJtepump  0.918817
AnMu7UaszF1bwyuws7zaGZZjvFMPYwKoeGqna92Ppump  0.963825
EfqTDbZiEn6mjEf7Wiv39yaww72Vz9U917A49eG9pump  1.029547
921tUHhjKMA8VvXWVXyoVtEbK3H3JxDiM3QbYpW6pump  1.17176
26ZjEwf32aDBuRttJ13YxhUzBxeL3M2QXJn3f7FNpump  1.182523
9cLdUnUVPUNcKDxUiAFkVyKiL4CFpYCXQWQ2qATapump  1.196134
6X4LkHck64w57Ma7UWLaDWKQubPU2VsFS7SvzhTApump  1.202318
9BDXxuUteBrbjh8UoY68MMjrhksYTUdAhd7r24b8pump  1.233137
3HGkftwTwfY71A1sTf8ezt7D5gd9jbZjHRRB91wdpump  1.251426
8eZTr1JJR2g1S9qD2RjZgxL5k8j7mgyHWcHnRhZCpump  1.355123
DY2yjJLRfaUWF9LsXTKggJ75ABiPNKzmLF5fv4dnpump  1.466693
6UedryYxkdTpXUpYvBJpkv3ERhVmieJytJRLqzuRpump  1.650027
54yrSEs79WokdfwpoGszLnKpV5qYc5BLx3zKSbP6pump  1.677858
ELNPsNDGA6yV61Bh5XVV1Xpv38oRnf1UqGbuMUjVpump  1.766703
8kYnHFXCggFLHVB5oMYdyaQnj1XCvkAcAFHUbZdkpump  1.821252
